"id","code","name"
1609,C28512,가정용 전기 난방기기 제조업
1610,C28519,기타 가정용 전기기기 제조업
1611,C28520,가정용 비전기식 조리 및 난방 기구 제조업
1612,C28901,전기경보 및 신호장치 제조업
1613,C28902,전기용 탄소제품 및 절연제품 제조업
1614,C28903,교통 신호장치 제조업
1615,C28909,그 외 기타 전기장비 제조업
1616,C29111,내연기관 제조업
1617,C29119,기타 기관 및 터빈 제조업
1618,C29120,유압기기 제조업
1619,C29131,액체 펌프 제조업
1620,C29132,기체 펌프 및 압축기 제조업
1621,C29133,"탭, 밸브 및 유사장치 제조업"
1622,C29141,구름베어링 제조업
1623,C29142,기어 및 동력전달장치 제조업
1624,C29150,"산업용 오븐, 노 및 노용 버너 제조업"
1625,C29161,산업용 트럭 및 적재기 제조업
1626,C29162,승강기 제조업
1627,C29163,컨베이어장치 제조업
1628,C29169,기타 물품 취급장비 제조업
1629,C29171,산업용 냉장 및 냉동 장비 제조업
1630,C29172,가정용 및 산업용 공기 조화장치 제조업
1631,C29173,운송장비용 공기 조화장치 제조업
1632,C29174,산업용 송풍기 및 배기장치 제조업
1633,C29175,기체 여과기 제조업
1634,C29176,액체 여과기 제조업
1635,C29177,"증류기, 열교환기 및 가스발생기 제조업"
1636,C29180,사무용 기계 및 장비 제조업
1637,C29191,"용기 세척, 포장 및 충전기 제조업"
1638,C29192,분사기 및 소화기 제조업
1639,C29193,동력식 수지공구 제조업
1640,C29199,그 외 기타 일반목적용 기계 제조업
1641,C29210,농업 및 임업용 기계 제조업
1642,C29221,전자 응용 절삭기계 제조업
1643,C29222,디지털 적층 성형기계 제조업
1644,C29223,금속 절삭기계 제조업
1645,C29224,금속 성형기계 제조업
1646,C29229,기타 가공 공작기계 제조업
1647,C29230,금속 주조 및 기타 야금용 기계 제조업
1648,C29241,건설 및 채광용 기계장비 제조업
1649,C29242,광물처리 및 취급장비 제조업
1650,C29250,음ㆍ식료품 및 담배 가공기계 제조업
1651,C29261,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업"
1652,C29269,"기타 섬유, 의복 및 가죽 가공 기계 제조업"
1653,C29271,반도체 제조용 기계 제조업
1654,C29272,디스플레이 제조용 기계 제조업
1655,C29280,산업용 로봇 제조업
